id,name,screen_name,location,description,followers_count,friends_count,verified,profile_image_url
50393960,Bill Gates,BillGates,"Seattle, WA",Sharing things I'm learning through my foundation work and other interests.,54847521,281,True,http://pbs.twimg.com/profile_images/988775660163252226/XpgonN0X_normal.jpg
15485441,jimmy fallon,jimmyfallon,"New York, New York",astrophysicist,51834157,10372,True,http://pbs.twimg.com/profile_images/1291167577813782533/1hEBgeQ__normal.jpg
85603854,jlo,JLo,"Bronx, NY","Don't miss me on @glbctzn #VaxLive this Saturday, May 8",45301758,1775,True,http://pbs.twimg.com/profile_images/1387803054401937410/sNKEPa2U_normal.jpg
157140968,Kendall,KendallJenner,,,31464063,126,True,http://pbs.twimg.com/profile_images/1347598633399554048/vs4SSwnO_normal.jpg
1339835893,Hillary Clinton,HillaryClinton,"New York, NY","2016 Democratic Nominee, SecState, Senator, hair icon. Mom, Wife, Grandma x3, lawyer, advocate, fan of walks in the woods & standing up for our democracy.",30988126,931,True,http://pbs.twimg.com/profile_images/1291192333199958017/SvH8J8_P_normal.jpg
939091,Joe Biden,JoeBiden,"Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.",30132053,47,True,http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg
224223563,Gerard Piqué,3gerardpique,Barcelona,FCBarcelona football player | Kosmos President & Founder,19976372,746,True,http://pbs.twimg.com/profile_images/1303854832894312450/YbdVhwef_normal.jpg
1346439824,Rajnath Singh,rajnathsingh,,"रक्षा मंत्री, Defence Minister of India",19924563,452,True,http://pbs.twimg.com/profile_images/1251443637491122176/x5OH_3pf_normal.jpg
133880286,Leonardo DiCaprio,LeoDiCaprio,"Los Angeles, CA",Actor and Environmentalist,19555193,226,True,http://pbs.twimg.com/profile_images/694662257586892802/mdc5ELjj_normal.jpg
1492538024,Kapil Sharma,KapilSharmaK9,"Mumbai, India","Actor, who loves to make ppl laugh 🤗",18105075,630,True,http://pbs.twimg.com/profile_images/1152215560869953536/mSjwFhbF_normal.jpg
2893511188,Ryan Reynolds,VancityReynolds,🇨🇦 & 🏴󠁧󠁢󠁷󠁬󠁳󠁿,owner: @aviationgin - @MintMobile - @maximumeffort - @Wrexham_AFC,17561245,998,True,http://pbs.twimg.com/profile_images/1299844050208555008/7wMQaJRA_normal.jpg
2367911,MTV,MTV,NYC,BIGGER. BOLDER. BUTTERIER. 💛 The 2021 #MTVAwards start May 16 at 9p on MTV!,16770838,30648,True,http://pbs.twimg.com/profile_images/1324004101013835776/fo-_zi1C_normal.jpg
28785486,ABC News,ABC,New York City / Worldwide,"All the news and information you need to see, curated by the @ABC News team.   Watch full ABC News broadcasts on @Hulu: https://t.co/w3wQ1O1Szs",16670212,502,True,http://pbs.twimg.com/profile_images/1082358814819536896/19QbYCgF_normal.jpg
250831586,Dwayne Johnson,TheRock,,CEO Seven Bucks Companies,15300544,306,True,http://pbs.twimg.com/profile_images/3478244961/01ebfc40ecc194a2abc81e82ab877af4_normal.jpeg
53153263,Tyra Banks,tyrabanks,,Founder of @SMiZECream,14167573,712,True,http://pbs.twimg.com/profile_images/1309141489235132419/mXoCyVbT_normal.jpg
18228898,John Legend,johnlegend,,"Chrissy's husband. Father of Luna & Miles. #BiggerLove album out now feat. @jheneaiko, @originalkoffee, @rapsody, @garyclarkjr. Drink like me: @lve_wines",14052863,1407,True,http://pbs.twimg.com/profile_images/1257200125417451520/b4SrAMNH_normal.jpg
39364684,chrissy teigen,chrissyteigen,couch,de-motivational speaker,13695991,4811,True,http://pbs.twimg.com/profile_images/1243351734757425152/e8JZwf03_normal.jpg
134758540,The Times Of India,timesofindia,New Delhi,"News. Views. Analysis. Conversations. India’s No.1 digital news destination, world’s largest-selling English newspaper - A Times Internet Limited Product",13591612,472,True,http://pbs.twimg.com/profile_images/1129666669054324736/1W_E72cn_normal.png
1330457336,Bill Clinton,BillClinton,"New York, NY","Father, grandfather, 42nd President of the United States, Founder, Clinton Foundation. Follow @ClintonFdn for more on our work around the world.",13305795,38,True,http://pbs.twimg.com/profile_images/1239440892664086529/iY0Z83Dr_normal.jpg
51376979,Sonam K Ahuja,sonamakapoor,India,Actor,13264282,1024,True,http://pbs.twimg.com/profile_images/1145948449193566208/SvvELvMl_normal.jpg
141664648,John Cena,JohnCena,"West Newbury, MA","A forum of thoughts and perspectives designed to ignite conversations and actions leading to growth, and occasional self promotion. #NeverGiveUp #RiseAboveHate",12970876,252243,True,http://pbs.twimg.com/profile_images/1350834733844979713/U2MJfZ9C_normal.jpg
138203134,Alexandria Ocasio-Cortez,AOC,"Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.",12702470,3194,True,http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg
